step,episode,avg_reward,avg_pipes,max_pipes,loss,epsilon,seconds
2000,100,-6.150,0.000,0,,0.987,6.5
4000,199,-6.116,0.000,0,,0.974,12.8
6000,299,-6.184,0.000,0,0.4434,0.961,20.5
8000,397,-6.030,0.000,0,0.4881,0.948,29.3
10000,492,-6.108,0.000,0,0.4570,0.935,38.1
12000,587,-5.972,0.000,0,0.5181,0.922,46.9
14000,684,-5.980,0.000,0,0.5631,0.909,55.7
16000,782,-6.144,0.000,0,0.5403,0.895,64.5
18000,880,-5.976,0.000,0,0.4798,0.882,73.4
20000,979,-6.144,0.000,0,0.6513,0.869,82.2
22000,1076,-5.988,0.000,0,0.4423,0.856,91.1
24000,1169,-5.702,0.000,0,0.1487,0.843,100.1
26000,1263,-6.060,0.000,0,0.1069,0.830,110.2
28000,1356,-5.634,0.000,0,0.1120,0.817,119.2
30000,1449,-5.774,0.000,0,0.1307,0.804,128.3
32000,1542,-5.872,0.000,0,0.1638,0.791,137.3
34000,1633,-5.802,0.000,0,0.1859,0.778,146.2
36000,1726,-5.806,0.000,0,0.1819,0.765,155.2
38000,1819,-5.946,0.000,0,0.1660,0.752,164.2
40000,1910,-5.816,0.000,0,0.1957,0.739,173.2
42000,1998,-5.588,0.000,0,0.1866,0.726,183.1
44000,2090,-5.892,0.000,0,0.1731,0.713,193.0
46000,2177,-5.558,0.000,0,0.1251,0.699,202.8
48000,2267,-5.746,0.000,0,0.0998,0.686,212.7
50000,2346,-5.014,0.000,0,0.1006,0.673,222.6
52000,2426,-5.162,0.000,0,0.0907,0.660,239.4
54000,2504,-4.784,0.000,0,0.0847,0.647,249.1
56000,2582,-5.086,0.000,0,0.0753,0.634,258.3
58000,2655,-4.712,0.000,0,0.0538,0.621,267.4
60000,2729,-4.684,0.000,0,0.0475,0.608,276.7
62000,2802,-4.674,0.000,0,0.0394,0.595,285.9
64000,2869,-3.994,0.000,0,0.0328,0.582,295.2
66000,2936,-4.074,0.000,0,0.0371,0.569,304.4
68000,3004,-4.298,0.000,0,0.0332,0.556,313.6
70000,3065,-3.486,0.000,0,0.0290,0.543,322.9
72000,3123,-3.358,0.020,1,0.0427,0.530,332.2
74000,3183,-3.712,0.000,0,0.0404,0.517,341.6
76000,3246,-4.304,0.000,0,0.0425,0.503,357.6
78000,3305,-3.260,0.000,0,0.0392,0.490,367.1
80000,3359,-2.832,0.000,0,0.0458,0.477,376.5
82000,3407,-1.902,0.000,0,0.0582,0.464,385.9
84000,3451,-0.882,0.000,0,0.0455,0.451,395.2
86000,3495,-1.206,0.000,0,0.0536,0.438,404.8
88000,3542,-1.748,0.000,0,0.0592,0.425,414.2
90000,3586,-0.730,0.020,1,0.0682,0.412,423.8
92000,3628,-0.720,0.020,1,0.1259,0.399,433.2
94000,3664,0.366,0.060,2,0.0686,0.386,442.7
96000,3703,0.296,0.020,1,0.1131,0.373,452.3
98000,3743,0.132,0.040,1,0.1177,0.360,462.1
100000,3782,-0.132,0.040,1,0.1539,0.347,471.6
102000,3816,0.638,0.040,1,0.1188,0.334,488.9
104000,3849,1.628,0.040,1,0.1211,0.321,498.5
106000,3879,3.044,0.080,1,0.1361,0.307,508.7
108000,3912,2.438,0.080,1,0.1110,0.294,518.2
110000,3941,3.092,0.200,3,0.1235,0.281,528.0
112000,3970,4.278,0.260,3,0.1558,0.268,537.6
114000,3991,6.336,0.380,3,0.1532,0.255,547.1
116000,4015,7.080,0.420,3,0.1780,0.242,556.7
118000,4043,5.380,0.220,1,0.1697,0.229,566.2
120000,4070,4.550,0.200,2,0.1822,0.216,576.9
122000,4093,6.418,0.340,2,0.2060,0.203,587.2
124000,4120,6.252,0.300,2,0.1767,0.190,597.2
126000,4142,6.360,0.360,2,0.1981,0.177,615.5
128000,4166,7.704,0.420,2,0.2071,0.164,625.4
130000,4191,6.414,0.320,2,0.2379,0.151,635.3
132000,4211,7.876,0.460,2,0.2406,0.138,645.2
134000,4233,9.376,0.580,3,0.2244,0.125,654.8
136000,4255,8.516,0.440,3,0.2365,0.111,664.4
138000,4278,8.112,0.320,3,0.2604,0.098,674.1
140000,4294,10.242,0.640,10,0.2308,0.085,683.8
142000,4313,12.042,0.860,10,0.2726,0.072,693.6
144000,4331,13.654,1.080,10,0.2865,0.059,703.2
146000,4352,10.640,0.720,5,0.2891,0.046,713.0
148000,4371,10.832,0.760,5,0.3049,0.033,722.7
150000,4389,11.374,0.760,5,0.2893,0.020,732.7
152000,4402,14.738,1.120,6,0.2729,0.020,751.6
154000,4418,16.818,1.360,6,0.3004,0.020,761.5
156000,4436,15.850,1.260,6,0.2848,0.020,771.3
158000,4450,16.354,1.360,7,0.3147,0.020,781.0
160000,4468,14.706,1.220,7,0.3202,0.020,790.9
162000,4487,13.772,1.140,7,0.2440,0.020,800.8
164000,4504,12.986,0.960,6,0.2856,0.020,810.8
166000,4522,13.124,0.880,6,0.2894,0.020,820.7
168000,4539,14.314,1.020,7,0.2525,0.020,830.7
170000,4555,13.654,0.960,7,0.2569,0.020,840.6
172000,4568,16.958,1.380,9,0.3021,0.020,850.8
174000,4584,16.554,1.380,10,0.2762,0.020,861.4
176000,4598,18.816,1.680,10,0.3020,0.020,885.3
178000,4615,17.462,1.560,10,0.2980,0.020,896.6
180000,4629,16.860,1.460,7,0.3265,0.020,908.0
182000,4644,16.700,1.420,7,0.3066,0.020,919.5
184000,4657,19.330,1.680,7,0.2833,0.020,930.9
186000,4671,20.144,1.740,7,0.3283,0.020,942.2
188000,4683,21.888,1.940,7,0.3655,0.020,953.7
190000,4696,22.068,1.980,7,0.2568,0.020,965.0
192000,4705,24.664,2.300,17,0.2899,0.020,976.4
194000,4713,28.788,2.800,17,0.2946,0.020,987.9
196000,4723,31.192,3.080,17,0.2513,0.020,999.3
198000,4730,33.798,3.420,17,0.3199,0.020,1010.7
200000,4740,37.846,3.940,17,0.3218,0.020,1022.3
202000,4753,37.110,3.940,17,0.2860,0.020,1046.6
204000,4763,33.576,3.560,12,0.2627,0.020,1058.0
206000,4774,31.358,3.320,11,0.3706,0.020,1069.2
208000,4787,26.190,2.720,12,0.3104,0.020,1080.5
210000,4800,26.604,2.740,12,0.3333,0.020,1091.9
212000,4812,25.004,2.520,12,0.3582,0.020,1103.2
214000,4824,25.892,2.640,12,0.3187,0.020,1114.5
216000,4836,25.012,2.520,10,0.2806,0.020,1125.7
218000,4846,26.898,2.760,10,0.2857,0.020,1136.3
220000,4857,27.384,2.820,10,0.2910,0.020,1147.1
222000,4865,31.600,3.300,18,0.2893,0.020,1156.5
224000,4875,32.544,3.440,18,0.2268,0.020,1165.8
226000,4882,33.834,3.620,18,0.2351,0.020,1194.6
228000,4892,33.126,3.500,18,0.3151,0.020,1204.2
230000,4902,34.530,3.600,18,0.2485,0.020,1213.7
232000,4909,38.960,4.100,18,0.2324,0.020,1223.1
234000,4914,37.142,3.900,14,0.1866,0.020,1232.5
236000,4921,42.850,4.520,24,0.2829,0.020,1241.9
238000,4930,42.962,4.500,24,0.1792,0.020,1251.4
240000,4939,45.040,4.760,24,0.2029,0.020,1260.9
242000,4948,44.282,4.660,24,0.1847,0.020,1270.4
244000,4957,44.718,4.720,24,0.2232,0.020,1279.8
246000,4965,40.802,4.240,14,0.2392,0.020,1289.6
248000,4973,37.592,3.860,14,0.1539,0.020,1299.8
250000,4983,39.774,4.140,16,0.1860,0.020,1310.9
