epoch,avg_reward,avg_pipes,max_pipes,policy_loss,value_loss,entropy,steps,seconds
1,-6.350,0.000,0,0.0048,0.9935,0.6915,151,1.2
2,-5.387,0.000,0,-0.0038,0.9948,0.6841,191,1.9
3,-6.175,0.000,0,-0.0082,0.9931,0.6902,159,2.6
4,-5.837,0.000,0,0.0026,0.9938,0.6895,172,3.3
5,-5.475,0.000,0,0.0228,0.9947,0.6863,187,4.0
6,-5.525,0.000,0,-0.0140,0.9940,0.6859,184,4.7
7,-5.500,0.000,0,-0.0275,0.9942,0.6809,185,5.5
8,-4.937,0.000,0,-0.0203,0.9952,0.6671,210,6.4
9,-4.925,0.000,0,-0.0173,0.9953,0.6335,210,7.2
10,-3.175,0.000,0,-0.0542,0.9968,0.5544,280,8.4
11,-2.325,0.000,0,0.0837,0.9978,0.4081,313,9.6
12,-2.300,0.000,0,0.0690,0.9992,0.3663,313,10.9
13,1.637,0.000,0,0.0332,0.9991,0.3968,472,12.9
14,-0.600,0.000,0,0.0950,0.9973,0.4499,382,14.4
15,-2.600,0.000,0,-0.0298,0.9958,0.5215,302,15.7
16,-1.663,0.000,0,-0.0361,0.9965,0.5645,339,17.1
17,-3.975,0.000,0,-0.0536,0.9960,0.5850,248,18.1
18,-1.913,0.000,0,0.0065,0.9972,0.5878,328,19.5
19,-2.750,0.000,0,-0.0273,0.9974,0.5884,296,20.7
20,-3.350,0.000,0,-0.0881,0.9963,0.5792,272,21.8
21,-3.462,0.000,0,-0.0569,0.9959,0.5497,267,22.9
22,-0.113,0.000,0,-0.0109,0.9958,0.5026,401,24.6
23,-1.863,0.000,0,0.0474,0.9952,0.4449,330,25.9
24,1.587,0.000,0,0.0323,0.9922,0.4059,469,27.9
25,-1.688,0.000,0,0.0480,0.9951,0.3798,339,29.4
26,-3.700,0.000,0,0.0308,0.9956,0.3829,257,30.6
27,5.750,0.375,2,0.0130,0.9908,0.4082,621,33.7
28,2.662,0.375,2,0.0076,0.9941,0.4396,497,36.1
29,1.175,0.000,0,0.0024,0.9884,0.4595,453,38.2
30,4.825,0.125,1,-0.0136,0.9832,0.4772,593,41.0
31,-0.038,0.125,1,-0.0058,0.9893,0.4850,399,42.8
32,-2.413,0.000,0,-0.0478,0.9922,0.4954,308,44.3
33,-0.450,0.000,0,-0.0267,0.9843,0.4916,389,46.1
34,-0.338,0.000,0,-0.0176,0.9844,0.4781,392,48.1
35,-2.425,0.000,0,-0.0089,0.9817,0.4578,309,49.6
36,-3.838,0.125,1,0.0419,0.9992,0.4387,246,50.8
37,0.812,0.000,0,-0.0385,0.9630,0.4438,438,52.9
38,-0.475,0.125,1,0.0099,0.9779,0.4384,382,54.7
39,0.412,0.000,0,0.0223,0.9546,0.4332,422,56.7
40,-0.863,0.125,1,-0.0163,0.9801,0.4332,366,58.4
41,1.575,0.000,0,-0.0229,0.9397,0.4350,468,60.6
42,3.837,0.250,1,-0.0204,0.9348,0.4244,549,63.2
43,-2.988,0.000,0,-0.0195,0.9764,0.4063,285,64.6
44,-1.400,0.000,0,0.1552,0.9859,0.3735,349,66.3
45,2.125,0.000,0,0.0395,0.8734,0.4100,490,68.6
46,2.087,0.000,0,-0.0701,0.9016,0.4521,489,70.9
47,-2.463,0.000,0,-0.0612,0.9641,0.4908,308,72.4
48,-1.313,0.000,0,0.2006,1.1353,0.5072,352,74.0
49,-3.688,0.000,0,-0.0555,0.9975,0.5211,259,75.3
50,-1.863,0.125,1,-0.0922,1.0189,0.5108,325,76.8
51,-2.000,0.000,0,-0.1767,0.9802,0.5029,326,78.3
52,-2.075,0.000,0,-0.1063,0.9488,0.4947,324,79.9
53,0.087,0.125,1,0.0852,0.9323,0.4811,404,81.8
54,1.862,0.000,0,0.0153,0.8562,0.4636,480,84.1
55,-0.750,0.000,0,0.0198,0.9178,0.4400,375,85.9
56,-1.175,0.000,0,0.0102,0.9132,0.4266,357,87.6
57,0.812,0.000,0,0.0572,0.8725,0.4160,437,89.7
58,-2.463,0.000,0,0.0557,0.9206,0.4185,307,91.1
59,-3.675,0.000,0,0.0738,0.9372,0.4353,260,92.4
60,3.612,0.000,0,0.0801,0.7732,0.4612,550,95.0
61,-2.175,0.000,0,-0.0482,0.9075,0.4948,319,96.6
62,0.462,0.000,0,0.0205,0.8480,0.4991,423,98.6
63,-3.325,0.000,0,-0.1304,0.9766,0.5097,274,99.9
64,-1.825,0.000,0,-0.0695,0.8624,0.4978,332,101.4
65,-0.188,0.000,0,-0.0140,0.7966,0.4846,398,103.3
66,3.862,0.250,2,0.0919,0.8533,0.4621,550,106.1
67,-1.388,0.125,1,-0.0634,1.1755,0.4693,345,107.8
68,-4.325,0.000,0,-0.1151,0.9798,0.4702,233,108.9
69,-0.200,0.000,0,0.0007,0.8075,0.4532,398,110.8
70,-0.288,0.000,0,0.0662,0.6852,0.4474,394,112.8
71,-1.413,0.000,0,0.0607,0.8045,0.4469,349,114.5
72,-0.275,0.000,0,0.0529,0.7850,0.4467,396,116.4
73,0.600,0.125,1,0.0185,0.8838,0.4501,425,118.5
74,-3.375,0.000,0,-0.1625,0.9512,0.4644,270,119.8
75,2.462,0.250,1,0.0548,0.7188,0.4321,494,122.3
76,-0.638,0.000,0,-0.0013,0.8622,0.4294,380,124.1
77,0.425,0.125,1,0.0028,1.0619,0.4167,418,126.2
78,-1.538,0.000,0,-0.0428,0.8168,0.4172,344,127.9
79,-1.338,0.000,0,0.0176,0.7356,0.4179,353,129.7
80,-0.563,0.000,0,-0.0225,0.7958,0.4369,383,131.5
81,0.337,0.125,1,0.0353,0.9089,0.4486,414,133.5
82,0.525,0.125,1,0.0276,1.0476,0.4610,422,135.6
83,-0.213,0.125,1,0.0253,0.9319,0.4706,393,137.4
84,0.437,0.125,1,0.0416,0.7678,0.4735,417,139.4
85,-1.825,0.000,0,-0.0760,0.8432,0.4810,333,141.0
86,0.900,0.125,1,-0.0389,0.8261,0.4782,435,143.2
87,-0.400,0.000,0,-0.0560,0.8404,0.4737,390,145.1
88,0.025,0.125,1,-0.0482,0.8632,0.4636,400,147.0
89,0.212,0.000,0,-0.0403,0.7079,0.4524,413,149.0
90,-2.338,0.000,0,-0.0339,0.9406,0.4406,313,150.6
91,2.137,0.125,1,0.0756,0.7550,0.4240,485,152.9
92,0.675,0.125,1,0.0754,0.8290,0.4150,429,155.0
93,-1.550,0.000,0,0.0905,0.8539,0.4091,343,156.7
94,0.387,0.125,1,0.0526,0.8930,0.4137,417,158.7
